"imgName","lat","lng","dataTime","remark","uploader","marker","checker","label","createdAt","updatedAt","sidewalk","protective","wheelchair","occupation","walkRisk","riskRate","purpose","imgUrl","_id","rankA1","rankB1","rankC1"
4779,23.7004148522479,120.547243978022,"2023-03-05T15:18:00.000Z",,"63b91475181b96bcfde05222","63ad27004ee1ac2f84632863",,"符合規定","2023-03-05T15:19:02.704Z","2023-03-06T02:58:41.688Z","有設置人行道或騎樓","實體人行道(無實體分隔)","輪椅可以通行（寬於100公分）","私人佔用（臨時停車）","有機車行駛","常如此(79~50%)","休閒","https://commutag.agawork.tw/static/upload/dataset/63528cc34f042e88cc951433/image/6404b2e60babfaa27c8abbb1.jpg","6404b2e60babfaa27c8abbb1",4.2,-5.5,0.8
4780,23.7008765776746,120.548150553839,"2023-03-05T15:19:00.000Z",,"63b91475181b96bcfde05222","63ad27004ee1ac2f84632863",,"符合規定","2023-03-05T15:21:47.322Z","2023-03-06T02:56:45.146Z","有設置人行道或騎樓","實體人行道(無實體分隔)","輪椅可以通行（寬於100公分）","私人佔用（臨時停車）","有機車行駛","常如此(79~50%)","休閒|其他","https://commutag.agawork.tw/static/upload/dataset/63528cc34f042e88cc951433/image/6404b38b0babfa1acc8abbbc.jpg","6404b38b0babfa1acc8abbbc",4.2,-5.5,0.8
4781,23.7015789866274,120.548107638494,"2023-03-05T15:22:00.000Z",,"63b91475181b96bcfde05222","63ad27004ee1ac2f84632863",,"符合規定","2023-03-05T15:23:02.369Z","2023-03-06T02:57:19.254Z","有設置人行道或騎樓","實體人行道(無實體分隔)","輪椅可以通行（寬於100公分）","私人佔用（臨時停車）","有機車行駛","常如此(79~50%)","休閒|通學","https://commutag.agawork.tw/static/upload/dataset/63528cc34f042e88cc951433/image/6404b3d60babfa64a68abbc7.jpg","6404b3d60babfa64a68abbc7",4.2,-5.5,0.8
4782,23.7012302385988,120.548595757214,"2023-03-05T15:23:00.000Z",,"63b91475181b96bcfde05222","63ad27004ee1ac2f84632863",,"符合規定","2023-03-05T15:27:29.693Z","2023-03-06T03:02:18.014Z","有設置人行道或騎樓","實體人行道(無實體分隔)","輪椅可以通行（寬於100公分）","私人佔用（臨時停車）|公共設施阻礙（機電設備）","有汽車行駛","常如此(79~50%)","休閒|通學|其他","https://commutag.agawork.tw/static/upload/dataset/63528cc34f042e88cc951433/image/6404b4e10babfae6be8abbe6.jpg","6404b4e10babfae6be8abbe6",1.6,-9.5,0
4783,23.6996485809138,120.54147722503,"2023-03-05T15:28:00.000Z",,"63b91475181b96bcfde05222","63ad27004ee1ac2f84632863",,"符合規定|嚴重風險","2023-03-05T15:29:04.175Z","2023-03-06T02:54:14.079Z","沒有設置人行道或騎樓","沒有人行道或騎樓","沒有人行道或騎樓","沒有人行道或騎樓","有機車行駛","總是如此(100%~95%)","通學|工作|採購日用|休閒|其他","https://commutag.agawork.tw/static/upload/dataset/63528cc34f042e88cc951433/image/6404b5400babfa70cc8abbf4.jpg","6404b5400babfa70cc8abbf4",2.4,-10,0
4784,23.701790199769,120.547034744058,"2023-03-05T15:29:00.000Z",,"63b91475181b96bcfde05222","63ad27004ee1ac2f84632863",,"符合規定","2023-03-05T15:32:30.260Z","2023-03-06T02:54:25.617Z","有設置人行道或騎樓","實體人行道(無實體分隔)","輪椅可以通行（寬於100公分）","私人佔用（臨時停車）","有汽車行駛","通常如此(94~80%)","通學|休閒","https://commutag.agawork.tw/static/upload/dataset/63528cc34f042e88cc951433/image/6404b60e0babfa07a88abc03.jpg","6404b60e0babfa07a88abc03",1.8,-9.5,0
4785,23.7018835263971,120.547077648572,"2023-03-05T15:32:00.000Z",,"63b91475181b96bcfde05222","63ad27004ee1ac2f84632863",,"符合規定","2023-03-05T15:34:12.913Z","2023-03-06T02:55:55.743Z","有設置人行道或騎樓","實體人行道(無實體分隔)","輪椅可以通行（寬於100公分）","公共設施阻礙（樹穴）|公共設施阻礙（機電設備）","有汽車行駛","常如此(79~50%)","通學|休閒","https://commutag.agawork.tw/static/upload/dataset/63528cc34f042e88cc951433/image/6404b6740babfa552f8abc12.jpg","6404b6740babfa552f8abc12",1.6,-10,0
4786,23.7023255989919,120.535302772657,"2023-03-05T15:34:00.000Z",,"63b91475181b96bcfde05222","63ad27004ee1ac2f84632863",,"符合規定|嚴重風險","2023-03-05T15:35:23.349Z","2023-03-06T02:53:59.003Z","沒有設置人行道或騎樓","沒有人行道或騎樓","沒有人行道或騎樓","沒有人行道或騎樓","有汽車行駛","總是如此(100%~95%)","休閒|採購日用","https://commutag.agawork.tw/static/upload/dataset/63528cc34f042e88cc951433/image/6404b6bb0babfa4f898abc1d.jpg","6404b6bb0babfa4f898abc1d",0,-10,0
4787,23.6999825971766,120.541005177904,"2023-03-05T15:35:00.000Z",,"63b91475181b96bcfde05222","63ad27004ee1ac2f84632863",,"符合規定|嚴重風險","2023-03-05T15:36:18.442Z","2023-03-06T02:52:16.519Z","有設置人行道或騎樓","騎樓","輪椅可以通行（寬於100公分）","私人佔用（商家、住家）","有機車行駛","總是如此(100%~95%)","通學|採購日用|工作","https://commutag.agawork.tw/static/upload/dataset/63528cc34f042e88cc951433/image/6404b6f20babfa94cc8abc28.jpg","6404b6f20babfa94cc8abc28",5,-3,2
4788,23.7021536820497,120.536144820224,"2023-03-05T15:36:00.000Z",,"63b91475181b96bcfde05222","63ad27004ee1ac2f84632863",,"符合規定|嚴重風險","2023-03-05T15:37:18.331Z","2023-03-06T02:51:28.126Z","沒有設置人行道或騎樓","沒有人行道或騎樓","沒有人行道或騎樓","沒有人行道或騎樓","有汽車行駛","常如此(79~50%)","休閒|工作|採購日用","https://commutag.agawork.tw/static/upload/dataset/63528cc34f042e88cc951433/image/6404b72e0babfa768e8abc33.jpg","6404b72e0babfa768e8abc33",0,-10,0
